지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),지면온도(°C)
108,서울,2018-04-01 01:00,11.7,,.5,360,74,9.2
108,서울,2018-04-01 02:00,11.7,,.6,360,72,9.3
108,서울,2018-04-01 03:00,11.9,,.7,50,71,9.8
108,서울,2018-04-01 04:00,12.1,,.3,0,69,10.3
108,서울,2018-04-01 05:00,12.3,,.5,20,65,10.6
108,서울,2018-04-01 06:00,12.4,,.4,0,61,10.7
108,서울,2018-04-01 07:00,12.5,,.4,0,62,10.9
108,서울,2018-04-01 08:00,12.9,,1.5,160,64,11.5
108,서울,2018-04-01 09:00,13.5,,1.8,140,66,12.3
108,서울,2018-04-01 10:00,14.7,,2,200,61,15.2
108,서울,2018-04-01 11:00,16.7,,2.1,160,55,19.3
108,서울,2018-04-01 12:00,18,,3.1,200,53,22.2
108,서울,2018-04-01 13:00,17.9,,2.2,200,60,19.2
108,서울,2018-04-01 14:00,17.5,,2.1,200,67,18
108,서울,2018-04-01 15:00,18.2,,2.2,180,63,19.8
108,서울,2018-04-01 16:00,18.2,,3.2,200,69,19.8
108,서울,2018-04-01 17:00,18,,1.8,250,72,18.2
108,서울,2018-04-01 18:00,17.7,,2.1,200,75,16.8
108,서울,2018-04-01 19:00,17.4,,2.3,270,79,15.9
108,서울,2018-04-01 20:00,17.1,,1.5,200,80,15.4
108,서울,2018-04-01 21:00,16.9,,1.9,200,81,15.2
108,서울,2018-04-01 22:00,16.7,,2.4,200,83,14.7
108,서울,2018-04-01 23:00,16.3,,1.3,200,82,13.9
108,서울,2018-04-02 00:00,16.1,,1.9,200,80,13.3
108,서울,2018-04-02 01:00,16,,1,230,79,13.1
108,서울,2018-04-02 02:00,15.7,,1.4,230,81,12.6
108,서울,2018-04-02 03:00,15.6,,1.2,230,81,12.9
108,서울,2018-04-02 04:00,15.7,,1.2,200,79,12.7
108,서울,2018-04-02 05:00,15.3,,1.4,160,82,12
108,서울,2018-04-02 06:00,14.9,,.4,0,81,12.1
108,서울,2018-04-02 07:00,15.1,,1,90,80,12.9
108,서울,2018-04-02 08:00,15.7,,1.1,110,75,13.9
108,서울,2018-04-02 09:00,16.6,,1.5,160,70,15.2
108,서울,2018-04-02 10:00,17.5,,1.3,180,66,17.2
108,서울,2018-04-02 11:00,18.5,,1.6,200,61,19.3
108,서울,2018-04-02 12:00,20.8,,2,250,50,26.1
108,서울,2018-04-02 13:00,21.9,,2.5,230,48,26
108,서울,2018-04-02 14:00,23,,3.4,230,42,28
