지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),지면온도(°C)
108,서울,2009-04-01 01:00,3.1,,2.3,290,53,.2
108,서울,2009-04-01 02:00,3.1,,2.8,320,59,1
108,서울,2009-04-01 03:00,2.8,,2.2,320,59,.6
108,서울,2009-04-01 04:00,2.5,,2,290,61,.3
108,서울,2009-04-01 05:00,2.5,,1.8,360,64,0
108,서울,2009-04-01 06:00,2.3,,1.7,320,66,-.1
108,서울,2009-04-01 07:00,2.4,,3.4,290,66,.7
108,서울,2009-04-01 08:00,2.8,,2.8,320,67,2.8
108,서울,2009-04-01 09:00,3.8,,2.8,320,63,6
108,서울,2009-04-01 10:00,5,,3,320,58,13.2
108,서울,2009-04-01 11:00,6.4,,3,340,54,19.4
108,서울,2009-04-01 12:00,7.7,,3.2,320,49,24.3
108,서울,2009-04-01 13:00,8.5,,3.5,320,45,26
108,서울,2009-04-01 14:00,8.6,,2.7,320,39,22.5
108,서울,2009-04-01 15:00,8.8,,3.2,290,42,16.2
108,서울,2009-04-01 16:00,9.4,,3.2,320,36,17.2
108,서울,2009-04-01 17:00,9.9,,3,290,34,15.8
108,서울,2009-04-01 18:00,9.8,,4.2,270,34,11.4
108,서울,2009-04-01 19:00,9,,2.6,290,34,7.9
108,서울,2009-04-01 20:00,8.2,,3.3,290,40,6.4
108,서울,2009-04-01 21:00,7.2,,3.3,320,40,5.3
108,서울,2009-04-01 22:00,6.3,,2.6,290,40,4.1
108,서울,2009-04-01 23:00,5.5,,2,340,41,3
108,서울,2009-04-02 00:00,4.9,,4.4,290,43,2.7
108,서울,2009-04-02 01:00,4.4,,3.2,320,48,2.1
108,서울,2009-04-02 02:00,4,,2.9,290,50,1.6
108,서울,2009-04-02 03:00,3.7,,2.9,320,52,1.2
108,서울,2009-04-02 04:00,3.3,,2.2,290,55,.6
108,서울,2009-04-02 05:00,3.1,,2.1,290,57,.2
